,recipe,ingredients
0,Simon Fischer Fruit Bttr Prune Lekvar,"Dried Prunes,Water,Corn Syrup,Sugar,Pectin."
1,McCORMICK GRILL MATES MOLASSES BACON SEASONING 1 x 77g JAR AMERICAN IMPORT,"Salt,Sugar,Molasses (Refinery Syrup, Molasses, Caramel Color),Spices (Including Black Pepper),Garlic Onion,Tapioca Maltodextrin,Bacon Fat and Cooked Bacon (Cured with Water, Salt, Sodium Erythorbate, Sodium Nitrate),Silicon Dioxide (To Make Free Flowing),Autolyzed Yeast,Sunflower Oil,Corn Maltodextrin,Vinegar,Extractives of Paprika,and Natural Flavor (Including Smoke)"
2,Jolly Time Popcorn,"Salt, Yellow 5 Lake, Tricalcium Phosphate And Artificial Butter Flavor"
3,Ziyad Tahini Sesame Sauce,"Mechanically hulled seasame seeds.Allergy Information: Packed in a facility that processes wheat, flour, peanuts and tree nuts.,Mechanically hulled seasame seeds.Allergy Information: Packed in a facility that processes wheat,flour,peanuts and tree nuts."
5,Hero Fruit Sprd Blk Currant-12 Oz -pack of 8,"Red Raspberries,Sugar,Glucose Syrup,Citric Acid,Pectin. Contains: Wheat."
6,Simply Asia Noodle Bowl Mandarin Orange -- 8.5 oz,"Noodles: wheat flour,water,wheat gluten,modified tapioca starch,salt,sodium alginate,lactic acid. Sauce packet: sugar,water,soy sauce (water, soybean, wheat, salt),plum sauce (plum juice, sugar, plum, water, licorice extract, citric acid, sodium citrate, salt, xanthan gum, caramel color),rice vinegar,pineapple juice concentrate,salt,hydrolyzed soy protein,tomato paste,modified corn starch,orange juice concentrate,onion,yeast extract,red chili pepper. Vegetable packet: ..."
7,Italian Bread Crumbs,"Wheat Flour,Soybean Oil,Salt,Dehydrated Garlic,Sugar,Onion Powder,Garlic Powder,Yeast,Spices. Contains: Wheat."
8,BACK TO NATURE CEREAL ORANGE CRUNCH GRAN,"Rolled Oats,Brown Rice Syrup,Evaporated Cane Juice,Brown Rice Crisp (Brown Rice, Brown Rice Syrup, Salt),Water,Non-GMO Canola Oil,Oat Bran,Oat Syrup Solids,Chia Seeds,Chicory Root Fiber,Honey,Orange Granules,Natural Flavors,Natural Vitamin E."
9,Nutrament Strawberry Complete Nutrition Drink 12 Fl. Oz. Can,"Skim Milk,Sugar,Corn Syrup,Canola Oil,High Oleic Sunflower Oil,Calcium Caseinate,Soy Protein Isolate,Corn Oil,Sodium Caseinate,Artificial Flavor,Magnesium Phosphate,Magnesium Chloride,Carrageenan,Soy Lecithin,Sodium Ascorbate,Ferrous Sulfate,Zinc Sulfate,Vitamin E Acetate,Niacinamide,Red 3,Calcium Pantothenate,Cupric Sulfate,Manganese Sulfate,Vitamin A Palmitate,Vitamin B6 Hydrochloride,Thiamin Hydrochloride,Riboflavin,Chromium Chloride,Folic Acid,Vitamin D3,Biotin,Sodium Molybdate,Sodium Selenite,Vitamin K1,Vitamin B12."
10,"Kikkoman Original Pearl Organic Soymilk, 32oz","Filtered Water,Whole Organic Soybeans,Organic Evaporated Cane Juice,Organic Malt Syrup,Tricalcium Phosphate,Sea Salt,Carrageenan,Organic Natural Vanilla Flavor,Vitamin A Palmitate,Vitamin D2."
11,"Kikkoman Chocolate Pearl Organic Soymilk, 32 Fl Oz","Filtered Water,Whole Organic Soybeans,Organic Evaporated Cane Juice,Organic Dutch Processed Cocoa Powder,Tricalcium Phosphate,Sea Salt,Carrageenan,Organic Natural Vanilla Flavor,Vitamin A Palmitate,Vitamin D2."
12,Blue Diamond Almondsï¿½ï¿½ Almond Breezeï¿½ï¿½ Chocolate Almondmilk 0.5 Gal. Carton,"Almondmilk (Filtered Water, Almonds),Evaporated Cane Juice,Cocoa (Dutch Process),Calcium Carbonate,Sea Salt,Potassium Citrate,Natural Flavors,Sunflower Lecithin,Gellan Gum,Vitamin A Palmitate,Vitamin D2 and D-Alpha-Tocopherol (Natural Vitamin E),."
13,"Stella D'oro Roasted Garlic Breadsticks, 7.8 Oz","Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid),Soybean Oil,Corn and Malt Syrup,Salt,Garlic,Yeast,Garlic Oil,Tocopherols Added to Preserve Freshness."
14,"Badia Anise Seed, .5 Oz","Anise Seed Used mainly to add flavor to cordials and liqueurs*NEWLINE*,Used in France to seasoning fish,soup,seafood and shellfish*NEWLINE*,Used in India on vegetables and seafood dishes*NEWLINE*,One of the most delicate herb plants related to dill,fennel and cumin*NEWLINE*,Gluten free"
15,"Tone's Garlic Powder, 2.88 Oz","Garlic Powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,Since 1873"
16,"Trolli Sour Brite Eggs, 4.0 Ounce Bags, (pack of 12)","Sugar,Corn Syrup,Gelatin,Citric Acid,Lactic Acid,Fumaric Acid,Maltodextrin,Confectioner's Glaze,Acacia (Gum Arabic),Natural and Artificial Flavors,Calcium Lactate,Sodium Lactate,Titanium Dioxide [Color],Carnauba Wax (Adds a Trivial Amount of Fat),Beeswax (Adds a Trivial Amount of Fat),Red 40,Yellow 5,Yellow 6,Blue 1,Sodium Citrate."
17,Cornnuts Ranch Bag,"CORN,PARTIALLY HYDROGENATED SOYBEAN AND/OR CANOLA OIL,SALT,BUTTERMILK,TOMATO AND ONION AND GARLIC POWDERS,MONOSODIUM GLUTAMATE (FLAVOR ENHANCER),CORN SYRUP SOLIDS,SUGAR,CHEDDAR CHEESE (MADE FROM CULTURED MILK, SALT AND ENZYMES),NATURAL AND ARTIFICIAL FLAVOR,LACTIC AND MALIC ACIDS (FOR TARTNESS),SPICES,SODIUM DIACETATE (FOR TARTNESS),PARSLEY FLAKES,SODIUM CITRATE,DISODIUM PHOSPHATE,ARTIFICIAL COLOR (INCLUDES RED 40 LAKE),CITRIC ACID,DISODIUM INOSINATE AND DISODIUM GUANYLATE (FLAVOR ENHANCERS),SODIUM CASEINATE,MONO- AND DIGLYCERIDES (EMULSIFIER),DEGERMED YELLOW CORN MEAL,SOYBEAN OIL."
18,Planters Pistachio Lovers Mix 18.5 Oz. Canister,"Pistachios,Almonds,Cashews,Peanut and/or Cottonseed Oil,Sea Salt. Contains: Pistachio,Almond,Cashew. Manufactured on equipment that processes peanut,other tree nuts."
19,Bob Evansï¿½ï¿½ Tasteful Sidesï¿½ï¿½ï¿½ Macaroni & Cheese 28 Oz. Tray,"Cooked Enriched Pasta (Water, Elbow Macaroni (Semolina (Wheat), Niacin, Iron (Ferrous Sulfate), Thiamin Mononitrate, Riboflavin, Folic Acid)),Milk,Water,Pasteurized Process Cheese Spread (American Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Water, Whey, Sodium Phosphate and/or Whey Protein Concentrate, Skim Milk, Contains Less Than 2 of the Following: Milkfat, Salt, Sodium-Alginate, Lactic Acid, Artificial Color, Apocaratenal (Color)),Cheese (Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes), Water, Salt, Annatto (Color)),Margarine (Liquid Soybean Oil, Water, Salt, Hydrogenated Cottonseed Oil, Soy Lecithin, Vegetable Mono and Diglycerides, Artificial Flavor, Vitamin A Palmitate),Contains Less Than 2 of the Following: Modified Food Starch,Salt."
21,"Nature's Path Organic Love Crunch Premium Organic Granola Aloha Blend, 11.5 Oz","Rolled Oats*,Cane Sugar*,Soy Oil*,Dried Coconut*,White Chocolate Chunks* (Cane Sugar*, Cocoa Butter*, Whole Milk Powder*, Soy Lecithin*, (Non-GMO), Vanilla Extract*, Ground Vanilla*),Freeze-Dried Pineapple*,Rice Starch*,Sea Salt,Natural Flavor,Cinnamon*,Tocopherols (Vitamin E),. *Organic."
23,Kernel Season's - All Natural Popcorn Seasoning Caramel - 3 Oz.,"Sugar,Brown Sugar,Natural Flavor,Caramel Color,and Not More than 2% Silicon Dioxide,Tricalcium Phosphate and Soybean Oil Added to Prevent Caking."
24,"Iberia Minced Garlic In Water, 1 Qt","Garlic,Water,Citric Acid,Sodium Benzoate."
25,"Goya Chicken Bouillon, 2.82 Oz","Salt,Monosodium,Glutamate,Sugar,Hydrolyzed Soy Protein,Malto Dextrin,Dehydrated Vegetables (Onion, Garlic, Celery and Parsley),Yeast Extract,Chicken Fat,Turmeric,Chicken Meat,Caramel Color,Natural Flavor,Disodium Inosinate and Guanylate,Silica (Anticaking Agent),."
27,M&b Curry,"Contains: Turmeric,Fenugreek,Coriander,Mustard Flour,Cumin,Gingerroot,Black Pepper,Allspice,Cayenne and Fennel."
28,Whole Oysters,"Whole Oysters,Water,Salt."
29,Seasoned Salt,"Salt,Sugar,Spices,Including Paprika,Tumeric,Onion,Corn Starch,Garlic,Tricalcium Phosphate (Prevents Caking),Paprika Oleoresin (For Color),And Natural Flavor."
30,Bellino Nonpareil Cape Roasted 3-ounce Ja Roasted (pack of 12),"Non Pareil Capers,Water,Salt and Vinegar."
31,"Blue Diamond Dark Chocolate Almonds, 8 Oz (pack of 6)","Almonds,Sugar,Cocoa Powder (processed with Alkali),Corn Maltodextrin,Natural Flavor (Dark Chocolate),Sea Salt and Rebiana (Stevia Extract),."
32,"Williams Spicy Wings, 5 Oz (pack of 6)","Enriched Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Spices and Color,Dehydrated Onion and Garlic,Natural Flavor."
33,Sour Cherry Syrup,"Sour Cherry Juice,Sugar."
34,Bionaturae Organic Wild Berry Fruit Spread 9 Oz,"Organic Wild Berries (Organic Blackberries, Organic Strawberries, Organic Bilberries, Organic Raspberries),Organic Apple Juice Concentrate,Natural Fruit Pectin,Ascorbic Acid."
35,"Lay's Dip Creations Country Ranch Seasoning Mix, 1 Oz","Maltodextrin,Salt,Monosodium Glutamate,Dehydrated Garlic,Onion Powder,Dehydrated Onion,Dehydrated Parsley,Partially Hydrogenated Soybean Oil And Cottonseed Oil,Spice,Modified Food Starch,Dextrose,Lactic Acid,Carrageenan,And Artificial Color. Contains A Milk Ingredient."
